EnvExecTime,PolicyExecTime,AverageDiscountedReturn,Time-EnvSampleProc,Itr,Epochs,MinReturn,NumTrajs,MaxReturn,n_timesteps,Time,AvgModelEpochTime,Post-Loss,StdForwardProgress,Time-EnvSampling,ItrTime,StdReturn,AverageReturn,MinForwardProgress,Pre-Loss,Time-ModelFit,MaxForwardProgress,AverageForwardProgress
0.5091180801391602,0.08195614814758301,17.311002686216295,0.0009982585906982422,0,99,10.0,5,38.0,5000,122.95602035522461,1.1821907210350036,0.18398181473215422,5.257723808288574,4.711345911026001,122.95602035522461,9.850888284819801,20.4,-7.264369487762451,0.18849382668267933,118.24267888069153,6.670830249786377,-2.1953349113464355
0.8210699558258057,290.9767687320709,52.47498446423303,0.0,1,99,52.0,5,117.0,10000,650.2233884334564,2.3504071116447447,0.17821214099725088,3.71612811088562,291.8868262767792,526.9454908370972,23.928226010300055,82.2,-7.656650066375732,0.1847458065899749,235.05766654014587,3.7785627841949463,-1.8832635879516602
0.9358119964599609,283.3575367927551,89.7696753914685,0.0,2,99,182.0,5,450.0,15000,1305.9324116706848,3.704946563243866,0.15494103407537616,5.6473469734191895,284.37345147132874,654.8993508815765,92.26613680001996,280.4,-4.546377182006836,0.15211968078007418,370.5258994102478,9.699904441833496,2.2580056190490723
0.9952707290649414,282.52656602859497,72.19632807337314,0.015621662139892578,3,99,71.0,5,319.0,20000,2069.3474843502045,4.789591033458709,0.16084864621563832,3.8586692810058594,283.5541753768921,762.592383146286,83.13458967241013,164.8,0.9784191846847534,0.15034345873923763,479.02158975601196,9.879193305969238,6.03731632232666
0.7558977603912354,280.2895052433014,77.26106609727285,0.0,4,99,94.0,5,346.0,25000,2975.0672545433044,6.237981896400452,0.13610860807520728,7.4039506912231445,281.0465199947357,904.8965654373169,89.56919113177253,186.4,-12.43034553527832,0.1472367647101149,623.8490476608276,8.91684627532959,-4.575105667114258
1.0117435455322266,278.8438620567322,83.48559080327148,0.0,5,99,121.0,5,310.0,30000,3994.79803442955,7.388870716094971,0.13541524605573835,6.745933532714844,279.9034688472748,1018.9175069332123,62.28771949590064,196.8,-8.665342330932617,0.13189630010409115,739.013040304184,11.92884349822998,1.2362089157104492
0.900519609451294,277.59738063812256,82.9398047673506,0.0,6,99,103.0,5,262.0,35000,5126.401571035385,8.521599137783051,0.1262281876399942,5.168283939361572,278.56237983703613,1130.8004031181335,60.33042350257456,199.8,-10.012496948242188,0.12279086989543304,852.2224013805389,4.209198951721191,-3.6316771507263184
0.8430314064025879,282.46302485466003,82.51422503755865,0.0019941329956054688,7,99,123.0,5,253.0,40000,6391.658107995987,9.809070491790772,0.11140193970817508,3.290144920349121,283.3708817958832,1264.3942620754242,47.85227267330153,189.4,-8.608867645263672,0.1088317858186348,981.0213861465454,0.6879163384437561,-2.4449827671051025
0.8263702392578125,280.2536931037903,42.50944082897554,0.0,8,99,10.0,5,280.0,45000,7803.975656270981,11.3032151055336,0.11930360176068332,6.223766326904297,281.1279253959656,1411.4816763401031,98.69062772117725,99.4,-9.728336334228516,0.11659554430820467,1130.3527541160583,7.470795154571533,2.171091079711914
0.6806941032409668,281.0770366191864,76.19143474073539,0.0,9,99,117.0,5,340.0,50000,9325.2445333004,12.386344981193542,0.1067533949990907,3.228930950164795,281.75972628593445,1520.442085981369,85.33322916660309,188.8,-2.6525719165802,0.10329777811543128,1238.6813621520996,5.875359058380127,2.095919132232666
0.9629111289978027,283.41496562957764,52.14644371403856,0.0,10,99,9.0,5,651.0,55000,10953.89616060257,13.432338054180144,0.1030131776810345,2.297664165496826,284.4433522224426,1627.8187463283539,237.97697367602606,192.4,-3.9554898738861084,0.10304806451827293,1343.3743965625763,2.7349631786346436,-0.2577771544456482
0.7093093395233154,280.88037633895874,84.57071859864865,0.0,11,99,121.0,5,459.0,60000,12725.497868299484,14.8891091299057,0.09834952852469962,5.716968536376953,281.65416717529297,1770.676424741745,118.61096070768501,239.8,-11.711397171020508,0.09361492740935742,1489.0212597846985,5.04766845703125,-1.4280451536178589
0.838904619216919,281.06899070739746,76.80759144113406,0.0,12,99,105.0,5,275.0,65000,14636.530228614807,16.28222038269043,0.09933796869935813,5.1678266525268555,281.9411346912384,1910.2256581783295,62.169445871746355,165.4,-5.377760410308838,0.0939024976197232,1628.284523487091,9.840302467346191,1.8434689044952393
0.7950534820556641,279.88021755218506,38.55390250854801,0.0,13,99,17.0,5,131.0,70000,16646.99731850624,17.289207451343536,0.09330448021191633,4.281933784484863,280.69189047813416,2009.6604979038239,54.3323108288245,64.0,-3.444014549255371,0.08959299260817319,1728.9676094055176,6.247640132904053,0.7690067291259766
0.7880570888519287,280.1372585296631,60.10388211160638,0.0,14,99,62.0,5,137.0,75000,18800.3587975502,18.715108072757722,0.08952031028083461,3.0933804512023926,280.957560300827,2152.547473669052,28.210636292008726,102.4,-2.6911115646362305,0.0879158417373039,1871.588917016983,5.549564838409424,2.9917635917663574
0.8525688648223877,279.7430078983307,41.00862118395285,0.015620946884155273,15,99,12.0,5,324.0,80000,21075.028083086014,19.931016597747803,0.08620164862567156,4.390299320220947,280.6767797470093,2273.8449127674103,120.2174696123654,99.6,-11.853963851928711,0.08620462355179942,1993.151515007019,-0.03158311918377876,-4.297440052032471
0.9190266132354736,280.7274193763733,54.016719222153824,0.0,16,99,15.0,5,202.0,85000,23501.387939214706,21.437435352802275,0.08419918544801339,4.057967662811279,281.70992946624756,2425.5348122119904,82.20462274106,110.0,-6.09089469909668,0.0813595195924413,2143.8238847255707,5.698276042938232,1.1960397958755493
