MaxForwardProgress,AverageForwardProgress,ItrTime,Itr,Time,MaxReturn,PolicyExecTime,Time-ModelFit,Post-Loss,Time-EnvSampleProc,AverageReturn,AverageDiscountedReturn,StdForwardProgress,n_timesteps,AvgModelEpochTime,Time-EnvSampling,NumTrajs,StdReturn,MinReturn,Pre-Loss,EnvExecTime,MinForwardProgress,Epochs
-0.6370095615020992,-1.1725974089818303,64.51478457450867,0,64.5147933959961,-162.24321181891654,0.16185617446899414,63.61698818206787,0.0070912205,0.0012710094451904297,-217.3718089743548,-19.03732961521704,0.5718431185617311,5000,0.6355750441551209,0.8951094150543213,5,57.87914665612892,-299.7911657462553,0.008541645,0.6978485584259033,-1.9978103099441733,99
1.3546455272902915,0.9581696423025502,245.83946084976196,1,310.7324252128601,29.67071611835514,120.10295176506042,124.36447620391846,0.010293686,0.0010058879852294922,-7.452931499391326,28.861735423556343,0.304452940231895,10000,1.2430345439910888,121.47302103042603,5,30.241402696079746,-51.798857910214345,0.019141048,1.29591965675354,0.5252847672648254,99
3.9219223727917396,3.2234111248938797,137.2614107131958,2,448.0901610851288,280.6048851040149,121.98669910430908,13.864001750946045,0.06689191,0.0018393993377685547,210.9868558852726,-0.5875804430691911,0.5398366786525903,15000,1.9786817686898368,123.39399671554565,5,54.19737904117733,146.2094619046659,0.07517029,1.3229410648345947,2.5710694275358175,6
0.6465455887020264,0.5620779465319081,163.2120816707611,3,611.3948864936829,-52.03774986784815,128.63507795333862,33.12035632133484,0.063154,0.0012285709381103516,-62.16433776343297,3.446894127527243,0.07923050549349728,20000,2.546797220523541,130.0895812511444,5,8.424042530500333,-74.64960992541774,0.06772401,1.376636266708374,0.43821302902929454,12
4.041463904365278,3.1229820669697794,437.6354329586029,4,1049.1230564117432,294.5853082579831,118.22897744178772,318.0555422306061,0.01591309,0.0010230541229248047,203.3477898549727,8.901308914020248,0.6855556943351723,25000,3.1799730253219605,119.57776379585266,5,67.66492636157888,110.34323688842439,0.01954552,1.2780089378356934,2.185645126187466,99
1.150293293018766,0.7166201692299049,508.63056898117065,5,1557.8459026813507,3.6167403057145413,120.76386451721191,386.4686779975891,0.019517224,0.0012202262878417969,-42.07935994444931,10.691525626007186,0.25935835886490743,30000,3.864081027507782,122.15964150428772,5,27.17294905644212,-70.67924023301221,0.023159474,1.319141149520874,0.45470712327417573,99
4.907220268513049,4.224050817872648,570.9259617328644,6,2128.8629772663116,379.4561731865098,119.7215986251831,449.84659481048584,0.015999129,0.0010442733764648438,312.16255506459186,29.730281129935435,0.7179049981185187,35000,4.4978308725357055,121.07733726501465,5,71.80817066613996,209.6481571543747,0.019014731,1.2850501537322998,3.194718066017605,99
1.0677647108224873,0.8405576767154488,692.8273975849152,7,2821.7835323810577,-9.664348232804056,121.13465690612793,570.2991805076599,0.016586972,0.0011136531829833984,-30.917983094357208,12.24196093962706,0.12426371093615045,40000,5.702286291122436,122.52618288993835,5,12.445738541382994,-45.74030030056165,0.020088535,1.3187270164489746,0.7062230193921997,99
4.884261854448417,4.1965242982966675,808.2699565887451,8,3630.1487843990326,378.69033611665276,122.62336754798889,684.2260336875916,0.015649602,0.0013320446014404297,308.9285896458258,34.94954369782586,0.6039548070303151,45000,6.841449267864228,124.04100799560547,5,60.98399807083371,216.35124495493778,0.017996565,1.337665319442749,3.262835668104512,99
1.3416560867526464,0.8330824307035167,923.3104617595673,9,4553.561623573303,16.453073784799365,145.27366614341736,776.3373010158539,0.01869571,0.0021944046020507812,-34.42654547577327,6.474569996742128,0.2879545791645038,50000,7.762548067569733,146.96900177001953,5,28.065971932670124,-66.4873419342592,0.022307891,1.5763928890228271,0.4855559180403105,99
